rodrik_harlaw,-1,-1,-1,22,-1
euron_greyjoy,-1,-1,-1,20,-1
septon_meribald,-1,-1,-1,7,-1
elder_brother,-1,-1,-1,12,-1
dick_crabb,-1,-1,-1,13,-1
hyle_hunt,-1,-1,-1,15,-1
daven_lannister,-1,-1,-1,16,-1
genna_lannister,-1,-1,-1,17,-1
taena_merryweather,-1,-1,-1,18,-1
myranda_royce,-1,-1,-1,29,-1
alleras,-1,-1,-1,38,-1
rennifer_longwaters,-1,-1,-1,43,-1
aurane_waters,-1,-1,-1,45,-1
leo_tyrell,-1,-1,-1,46,-1
creighton_longbough,-1,-1,-1,49,-1
